Country,City,Year,AQI_Level,PM2_5,PM10,NO2,CO_Level,Pollution_Source,Air_Quality_Status
UAE,Sharjah,2018,255,125.7,162.63,161.6,10.41,Traffic Congestion,Very Poor
Germany,Frankfurt,2018,31,17.93,45.78,16.57,1.29,Natural Dust,Good
Japan,Nagoya,2025,118,77.31,141.29,43.66,4.92,Burning Waste,Poor
Canada,Montreal,2019,102,56.92,86.07,66.41,3.97,Traffic Congestion,Poor
UAE,Sharjah,2026,144,72.22,135.98,66.69,6.34,Burning Waste,Poor
France,Marseille,2026,160,107.21,190.31,55.36,7.01,Burning Waste,Poor
UK,Manchester,2019,145,66.41,94.17,55.45,6.22,Burning Waste,Poor
UAE,Al Ain,2020,301,213.89,345.92,124.71,13.05,Burning Waste,Hazardous
Japan,Tokyo,2019,129,90.33,145.25,81.06,3.6,Industrial Pollution,Poor
Canada,Toronto,2023,49,25.94,40.43,27.13,1.86,Vehicle Emissions,Good
Germany,Berlin,2024,124,64.28,147.46,40.11,3.94,Construction Dust,Poor
Japan,Nagoya,2023,115,50.99,67.82,64.43,4.74,Vehicle Emissions,Poor
Japan,Tokyo,2020,112,64.59,117.63,49.63,2.96,Construction Dust,Poor
UK,Birmingham,2020,132,75.4,111.97,50.42,3.86,Power Plants,Poor
Australia,Adelaide,2019,61,29.79,59.05,38.75,2.6,Traffic Congestion,Moderate
Canada,Ottawa,2019,100,47.01,64.58,43.84,3.75,Burning Waste,Moderate
USA,San Francisco,2022,132,64.62,110.39,47.16,4.22,Power Plants,Poor
Japan,Kyoto,2025,154,69.34,92.51,69.66,4.89,Power Plants,Poor
Australia,Brisbane,2023,79,47.36,70.18,48.27,3.68,Traffic Congestion,Moderate
USA,Chicago,2026,130,54.13,129.04,50.23,3.88,Construction Dust,Poor
Canada,Calgary,2022,52,35.74,50.79,29.38,1.91,Industrial Pollution,Moderate
India,Mumbai,2021,421,222.21,316.0,174.06,17.39,Burning Waste,Hazardous
France,Nice,2026,101,62.44,146.36,43.65,3.14,Natural Dust,Poor
Australia,Adelaide,2022,93,34.21,60.12,52.99,3.58,Traffic Congestion,Moderate
Brazil,Brasilia,2018,219,93.76,124.25,136.44,9.36,Traffic Congestion,Very Poor
India,Chennai,2022,495,341.22,471.33,197.93,14.9,Power Plants,Hazardous
France,Nice,2022,57,19.98,41.76,25.18,1.95,Vehicle Emissions,Moderate
UK,London,2022,103,62.4,121.79,32.97,3.91,Burning Waste,Poor
UAE,Al Ain,2019,329,173.64,306.14,193.38,9.86,Industrial Pollution,Hazardous
Germany,Hamburg,2023,83,53.52,89.5,38.93,3.88,Burning Waste,Moderate
Brazil,Brasilia,2022,128,46.98,89.26,58.12,3.41,Natural Dust,Poor
UK,Birmingham,2019,30,12.26,33.32,5.73,1.36,Natural Dust,Good
Canada,Vancouver,2025,61,29.03,42.43,19.2,2.02,Power Plants,Moderate
UK,London,2023,98,36.26,72.57,51.26,3.79,Vehicle Emissions,Moderate
UAE,Abu Dhabi,2020,232,167.3,215.67,101.04,6.62,Power Plants,Very Poor
Canada,Vancouver,2026,103,70.72,105.37,66.91,2.96,Industrial Pollution,Poor
Brazil,Brasilia,2021,110,59.64,110.74,35.51,3.42,Construction Dust,Poor
UAE,Sharjah,2020,195,99.07,198.1,69.77,5.38,Natural Dust,Poor
USA,Houston,2024,74,39.81,55.94,35.86,3.2,Vehicle Emissions,Moderate
Germany,Berlin,2025,108,49.33,112.62,47.64,2.85,Natural Dust,Poor
Brazil,Rio de Janeiro,2024,169,105.25,149.67,97.63,5.48,Industrial Pollution,Poor
USA,Houston,2018,171,98.71,145.91,106.67,4.93,Industrial Pollution,Poor
France,Paris,2018,92,51.24,94.09,33.7,3.18,Natural Dust,Moderate
Brazil,Rio de Janeiro,2022,144,98.1,129.41,51.38,4.17,Power Plants,Poor
France,Marseille,2025,138,60.03,135.01,51.25,4.32,Natural Dust,Poor
Canada,Montreal,2020,131,74.13,139.31,45.34,4.19,Power Plants,Poor
USA,San Francisco,2025,65,24.73,60.95,29.62,1.95,Natural Dust,Moderate
Germany,Berlin,2020,94,62.74,85.76,38.43,3.29,Power Plants,Moderate
UAE,Abu Dhabi,2021,240,149.96,305.7,97.2,7.69,Construction Dust,Very Poor
Japan,Tokyo,2024,136,86.61,139.4,52.83,5.5,Burning Waste,Poor
UK,Glasgow,2020,136,63.81,116.31,50.82,5.51,Burning Waste,Poor
India,Kolkata,2021,495,293.62,489.35,204.87,14.7,Power Plants,Hazardous
Germany,Cologne,2025,86,60.24,86.27,39.81,2.48,Power Plants,Moderate
USA,Los Angeles,2021,115,43.52,70.72,69.18,4.6,Traffic Congestion,Poor
Japan,Kyoto,2026,94,60.7,95.04,50.14,4.26,Traffic Congestion,Moderate
Germany,Munich,2021,61,37.17,70.58,33.61,1.54,Construction Dust,Moderate
USA,New York,2021,106,60.32,104.18,37.9,4.25,Burning Waste,Poor
Australia,Perth,2022,46,23.51,66.35,8.91,1.81,Construction Dust,Good
Australia,Sydney,2018,58,34.86,67.11,34.45,2.21,Traffic Congestion,Moderate
France,Nice,2024,113,41.3,52.83,76.4,5.13,Traffic Congestion,Poor
Germany,Hamburg,2026,143,90.24,110.99,83.3,4.3,Industrial Pollution,Poor
Australia,Brisbane,2026,6,3.87,19.78,6.73,0.1,Natural Dust,Good
USA,Houston,2018,139,73.45,113.54,77.43,5.93,Traffic Congestion,Poor
France,Marseille,2023,79,45.02,90.09,33.74,2.96,Burning Waste,Moderate
USA,Los Angeles,2020,79,38.03,70.46,35.46,2.61,Power Plants,Moderate
France,Toulouse,2021,92,49.06,74.92,64.95,4.31,Vehicle Emissions,Moderate
Germany,Cologne,2025,155,66.41,105.63,97.86,6.03,Traffic Congestion,Poor
Japan,Osaka,2021,141,94.12,168.3,82.3,4.14,Industrial Pollution,Poor
